isla,lobera,codigo,latitud,longitud,tipologia,importancia,year,macho,hembra,adultos,agua,juveniles,cachorros_tierra,cachorros_agua,desconocido,total,total_adultos,total_cachorros,autor,status
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,1996,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,1997,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,1998,,,3,0,0,0,,,3,3,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,1999,,,7,16,,0,,,23,23,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2000,,,60,36,,0,,,96,96,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2001,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2002,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2003,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2004,,,38,,,0,,,38,38,0,Osman,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2005,8,50,,21,3,0,0,1,83,83,0,Osman,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77 ,695931.94,No reproductiva ,No clave,2006,,,12,5,,0,,,17,17,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2007,,,21,2,,0,,,23,23,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2008,,,35,10,,0,,,45,45,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2009,,,47,10,,0,,,57,57,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2012,,,89,16,,1,,,106,105,1,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2017,,,41,12,,0,,,53,53,0,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2018,,,3,50,,0,27,,80,53,27,CONAF,Completo
Robinson Crusoe,Punta rinones,RC17,6278681.77,695931.94,No reproductiva ,No clave,2021,,,270,78,,,,,348,348,0,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1984,0,0,,,252,0,,0,252,252,0,Cardenas J.,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1993,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1996,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1997,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1998,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,1999,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,2000,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46 ,692533.97,Reproductiva,No clave,2001,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2002,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2003,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2004,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2005,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2006,,,275,148,,17,,,440,423,17,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2007,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2008,,,287,139,,23,,,449,426,23,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2009,,,699,41,,71,,,811,740,71,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2012,,,620,75,,78,,,773,695,78,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2017,,,1483,792,,578,,,2853,2275,578,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2018,,,856,69,,388,26,,1339,925,414,CONAF,Completo
Robinson Crusoe,Punta trueno,RC18,6272536.46,692533.97,Reproductiva,No clave,2021,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,nan,nan,nan,nan,nan,nan,1978,,,512,,,,,,512,512,0,Torres 1987,Completo
Robinson Crusoe,nan,nan,nan,nan,nan,nan,1983,,,1544,,,,,,1544,1544,0,Torres 1987,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1984,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1993,,,141,,,10,,,151,141,10,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1996,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1997,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1998,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,1999,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2000,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2001,,,1,2,,0,,,3,3,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2002,,,,1,,,,,1,1,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2003,,,5,1,,0,,,6,6,0,Osman,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2004,,,1,,,0,,,1,1,0,Osman,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2005,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2006,,,2,1,,0,,,3,3,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2007,,,0,1,,0,,,1,1,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2008,,,0,2,,0,,,2,2,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2009,,,10,14,,0,,,24,24,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2012,,,41,2,,1,,,44,43,1,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2017,,,46,6,,0,,,52,52,0,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2018,,,12,7,,16,2,,37,19,18,CONAF,Completo
Robinson Crusoe,Tierras amarillas ,RC19,6274066.55,694421.80,Reproductiva,No clave,2021,,,427,328,,,,,755,755,0,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1984,15,46,,,43,66,,0,170,104,66,Cardenas J.,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1993,,,1999,,,323,,,2322,1999,323,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1996,,,1383,,,0,,,1383,1383,0,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1997,,,1464,,,498,,,1962,1464,498,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1998,,,510,210,528,492,,,1740,1248,492,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,1999,,,1688,163,,713,,,2564,1851,713,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2000,,,972,214,,563,,,1749,1186,563,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2001,,,815,144,,779,,,1738,959,779,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2002,,,,101,,,,,101,101,0,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2003,,,1183,101,,1075,,,2359,1284,1075,Osman,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2004,,,1455,,,1648,,,3103,1455,1648,Osman,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2005,447,6,,621,88,1236,0,0,2398,1162,1236,Osman ,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2006,,,1410,1078,,1119,,,3607,2488,1119,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2007,,,1978,122,,1819,,,3919,2100,1819,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2008,,,1820,703,,762,,,3285,2523,762,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2009,,,5573,244,,1262,,,7079,5817,1262,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2012,,,3086,1376,,2268,,,6730,4462,2268,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2017,,,6114,1786,,3116,,,11016,7900,3116,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2018,,,3885,828,,2145,266,,7124,4713,2411,CONAF,Completo
Robinson Crusoe,Tierras blancas ,RC20,6273437.01,692552.97,Reproductiva,Clave,2021,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1984,14,52,,,18,68,,105,257,189,68,Cardenas J.,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1993,,,1497,,,58,,,1555,1497,58,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1996,,,1196,,,590,,,1786,1196,590,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1997,,,1464,,,541,,,2005,1464,541,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1998,,,423,118,255,219,,,1015,796,219,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,1999,,,847,363,,275,,,1485,1210,275,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2000,,,1239,316,,911,,,2466,1555,911,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2001,,,1378,349,,703,,,2430,1727,703,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2002,,,,503,,,,,503,503,0,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2003,,,1099,503,,825,,,2427,1602,825,Osman,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2004,,,1505,,,944,,,2449,1505,944,Osman,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2005,289,37,,322,173,626,0,25,1472,846,626,Osman,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2006,,,1505,306,,1276,,,3087,1811,1276,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2007,,,2090,300,,1005,,,3395,2390,1005,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2008,,,2878,410,,809,,,4097,3288,809,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2009,,,5040,393,,1450,,,6883,5433,1450,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2012,,,7223,801,,1902,,,9926,8024,1902,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85 ,696332.25 ,Reproductiva,Clave,2017,,,10211,529,,2487,,,13227,10740,2487,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85,696332.25,Reproductiva,Clave,2018,,,5949,690,,1661,349,,8649,6639,2010,CONAF,Completo
Robinson Crusoe,Tres puntas norte ,RC21,6276041.85,696332.25,Reproductiva,Clave,2021,,,4960,3399,,,,,8359,8359,0,CONAF,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1984,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1993,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1996,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1997,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1998,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,1999,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2000,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2001,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres Puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2002,0,0,0,0,,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2004,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2003,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2005,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2006,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2007,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2008,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2009,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2012,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2017,,,456,90,,10,,,556,546,10,CONAF,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2018,,,28,9,,4,0,,41,37,4,CONAF,Completo
Robinson Crusoe,Tres puntas sur ,RC22,6274567.27,696885.90,No reproductiva ,No clave,2021,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1984,0,0,,,84,0,,0,84,84,0,Cardenas J.,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1993,,,130,,,0,,,130,130,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1996,,,168,,,0,,,168,168,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1997,,,10,,,0,,,10,10,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1998,,,60,0,38,0,,,98,98,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,1999,,,99,241,,0,,,340,340,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2000,,,108,36,,0,,,144,144,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2001,,,52,18,,2,,,72,70,2,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2002,,,,16,,,,,16,16,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2003,,,54,16,,1,,,71,70,1,Osman,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2004,,,0,,,0,,,0,0,0,Osman,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2005,24,13,,76,4,0,0,4,121,121,0,Osman,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2006,,,33,13,,2,,,48,46,2,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2007,,,52,38,,0,,,90,90,0,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2008,,,90,29,,10,,,129,119,10,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2009,,,67,60,,4,,,131,127,4,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2012,,,165,52,,28,,,245,217,28,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2017,,,177,133,,149,,,459,310,149,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2018,,,29,16,,43,9,,97,45,52,CONAF,Completo
Robinson Crusoe,Vaqueria ,RC23,6279263.99,697659.77,Reproductiva,No clave,2021,,,412,45,,,,,457,457,0,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1968,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1969,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1984,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1993,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1996,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1997,,,0,,,0,,,0,0,0,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1998,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,1999,,,41,26,,8,,,75,67,8,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2000,0,0,0,0,0,0,0,0,0,0,0,,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2001,,,16,0,,10,,,26,16,10,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2002,,,,2,,,,,2,2,0,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2003,,,21,2,,64,,,87,23,64,Osman,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2004,,,43,,,69,,,112,43,69,Osman,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2005,,,,18,,,,,18,18,0,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2006,,,43,17,,69,,,129,60,69,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85 ,696948.40,Reproductiva,No clave,2007,,,174,6,,155,,,335,180,155,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2008,,,155,10,,150,,,315,165,150,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2009,,,361,32,,126,,,519,393,126,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2012,,,819,89,,338,,,1246,908,338,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2017,,,2966,84,,796,,,3846,3050,796,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2018,,,938,156,,1105,391,,2590,1094,1496,CONAF,Completo
Robinson Crusoe,Varadero ,RC24,6274921.85,696948.40,Reproductiva,No clave,2021,,,1302,138,,485,,,1925,1440,485,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,1984,6,28,,,22,21,,115,192,171,21,Cardenas J.,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,1993,,,1255,,,197,,,1452,1255,197,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,1997,0,0,0,0,0,0,0,0,0,0,0,,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,2003,,,,319,,,,,319,319,0,Osman,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,2005,,,,469,,0,,,469,469,0,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,2006,0,0,0,0,0,0,0,0,0,0,0,,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69 ,No reproductiva ,No clave,2008,,,3621,68,,910,,,4599,3689,910,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69,No reproductiva ,No clave,2009,,,3927,227,,1542,,,5696,4154,1542,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69,No reproductiva ,No clave,2012,,,5290,265,,2669,,,8224,5555,2669,CONAF,Completo
Santa Clara,Costa cerro alto,SC1,6268086.20,691681.69,No reproductiva ,No clave,2017,,,7104,599,,633,,,8336,7703,633,CONAF,Completo
